echo sha,contributor,date,message
53208354d,Adrien Cassagne,Tue Mar 5 17:15:57 2024 +0100,Update AFF3CT-core.
227e9e43a,Adrien Cassagne,Mon Mar 4 20:39:50 2024 +0100,CI: Disable stacktrace on static builds.
0183b3838,Adrien Cassagne,Mon Mar 4 20:36:58 2024 +0100,Update AFF3CT-core (3).
80f15b190,Adrien Cassagne,Mon Mar 4 18:03:49 2024 +0100,Update AFF3CT-core (2).
9904951fe,Adrien Cassagne,Mon Mar 4 10:23:28 2024 +0100,Update AFF3CT-core.
394a49d0b,x-AValad,Wed Jan 31 15:05:57 2024 +0100,Included Viterbi decoder to RSC simulation Throws error if buffered encoding is activated Parameters display not finished
512c0e3d2,x-AValad,Wed Jan 31 15:04:52 2024 +0100,Added Viterbi decoder Works as a SIHO decoder for RSC codes Only works on terminated trellises without buffered encoding Code cleanup required
6f1d3b7c4,TAJAN Romain,Tue Jan 30 16:07:04 2024 +0100,Fix performance loss when using buffered encoding.
06a81f68b,Adrien Cassagne,Tue Jan 30 11:19:30 2024 +0100,Merge pull request #188 from gerhardbaer/hotfix/doc_build_deps
e2b29ec91,Adrien Cassagne,Tue Jan 30 11:18:31 2024 +0100,Merge pull request #187 from gerhardbaer/hotfix/aff3ct_tools_boolean_diff
0ce9f0e38,Gerhard Baer,Wed Jan 24 17:43:33 2024 +0100,Doc: fix build requirements.
b273e30c8,Gerhard Baer,Wed Jan 24 14:30:06 2024 +0100,Boolean_diff: move common utilities into aff3ct::tools namespace.
09ec39b9c,Adrien Cassagne,Mon Jan 8 16:48:37 2024 +0100,Doc: clean Doxyfile.
7666e738d,Adrien Cassagne,Mon Jan 8 16:02:13 2024 +0100,Doc: fix rtd compil + update 2023 to 2024.
c931ce98d,Adrien Cassagne,Sat Dec 16 11:31:04 2023 +0100,Merge pull request #181 from gerhardbaer/hotfix/missing_includes
ac1583495,Gerhard Baer,Fri Dec 15 21:52:24 2023 +0100,transpose_selector: add missing includes
8e7b19db3,Adrien Cassagne,Wed Dec 13 11:32:42 2023 +0100,Merge pull request #180 from gerhardbaer/hotfix/aff3ct_wrapper
