echo sha,contributor,date,message
d2300cf,Canohaaaaaaa,Mon Jul 10 14:35:38 2023 +0200,ctrl_flow Pipeline dot export fix
da7036a,YacineIdouar,Mon Jul 10 13:57:32 2023 +0200,Correction des tests
36089fd,YacineIdouar,Mon Jul 10 13:20:31 2023 +0200,IO to FWD & ajout des tests
7b88261,YacineIdouar,Mon Jul 10 13:19:21 2023 +0200,IO to FWD & ajout des tests
46601a8,YacineIdouar,Mon Jul 10 10:27:28 2023 +0200,application du script
6a794f1,YacineIdouar,Mon Jul 10 09:56:11 2023 +0200,Correctionv2
1d55e38,YacineIdouar,Mon Jul 10 09:25:47 2023 +0200,Première version corrigée
b243874,Canohaaaaaaa,Fri Jul 7 16:29:46 2023 +0200,exclusive-paths-pipeline test
e03025b,YacineIdouar,Thu Jul 6 16:20:07 2023 +0200,Début dos des pipeline
16e52dc,YacineIdouar,Thu Jul 6 15:48:09 2023 +0200,Ajout de socket
9c58e3d,Canoha,Thu Jul 6 15:43:45 2023 +0200,module & task docs
43c018e,YacineIdouar,Thu Jul 6 12:09:02 2023 +0200,Socket FWD ne supporte pas plus de 1 frame
46a8e67,Canoha,Thu Jul 6 11:29:27 2023 +0200,setup
5caa091,Canohaaaaaaa,Wed Jul 5 11:48:11 2023 +0200,CMake errror
e16c5f0,Canohaaaaaaa,Wed Jul 5 11:32:36 2023 +0200,pipeline control flow test nested_loops
a41ae2b,Canohaaaaaaa,Wed Jul 5 11:30:20 2023 +0200,get_last_subsequence & update_tasks_id fixes
3455acb,Adrien Cassagne,Tue Jun 13 14:47:10 2023 +0200,Fix missing include.
45af298,TAJAN Romain,Mon Mar 20 18:32:49 2023 +0100,Fix reducer header.
e4e93e7,Adrien Cassagne,Mon Feb 6 13:48:04 2023 +0100,Fix ambigous 'create_probe_timestamp()' method.
8815be0,Adrien Cassagne,Mon Feb 6 09:50:59 2023 +0100,Invert arg positions in 'Reporter_probe'.
f07eaed,Adrien Cassagne,Sun Feb 5 09:57:55 2023 +0100,Update year to 2023.
5d58f7c,Adrien Cassagne,Fri Feb 3 11:16:18 2023 +0100,Fix a bug in 'Reporter_probe'.
c6bb853,Adrien Cassagne,Fri Feb 3 10:21:11 2023 +0100,Implement reset and is_done interfaces in 'Source_user' module.
82bef90,Adrien Cassagne,Sat Nov 12 22:15:17 2022 +0100,Add Stateless module to create 'on-the-fly' stateless tasks.
36914c2,Adrien Cassagne,Sat Nov 12 22:13:34 2022 +0100,Improver Help.
dfa6a3f,Adrien Cassagne,Sat Nov 12 13:11:47 2022 +0100,Improve reporters.
a4ed6d9,Adrien Cassagne,Fri Nov 11 22:20:19 2022 +0100,Improve probes.
f81197d,Adrien Cassagne,Fri Nov 11 14:00:24 2022 +0100,Add terminals.
c0e10a7,Adrien Cassagne,Fri Nov 11 11:12:02 2022 +0100,Improve verbose support.
7463eb4,Adrien Cassagne,Thu Nov 10 15:06:42 2022 +0100,Fix '-Woverloaded-virtual'.
ba42713,Romain TAJAN,Tue Nov 8 13:12:31 2022 +0100,Enable -v option in simple_chain test.
ab54f21,Romain TAJAN,Wed Nov 2 23:57:45 2022 +0100,Add test for helper in test-simple-chain using -v option.
d5ae1e1,Romain TAJAN,Wed Nov 2 23:38:32 2022 +0100,Add Module/Task/Socket helper.
8e1716e,Adrien Cassagne,Thu Oct 27 16:12:07 2022 +0200,Inline destructor.
267a7b0,Adrien Cassagne,Thu Oct 27 16:08:21 2022 +0200,Fix 'module::Socket::reset' task implementation.
efe125d,Adrien Cassagne,Thu Oct 27 16:07:25 2022 +0200,Call 'Socket::reset()' when deleting an object.
d74cf9a,Adrien Cassagne,Mon Oct 24 18:28:11 2022 +0200,Fix wrong binary name.
93ce0ce,Adrien Cassagne,Mon Oct 24 18:15:37 2022 +0200,Add subsequence in simple chain test.
e9497cc,Adrien Cassagne,Mon Oct 24 17:29:28 2022 +0200,Fix coverage badge.
af31681,Adrien Cassagne,Mon Oct 24 17:15:48 2022 +0200,Add pipeline tests.
263ea37,Adrien Cassagne,Mon Oct 24 11:29:45 2022 +0200,CI: enable pages deploy.
56beb96,Adrien Cassagne,Mon Oct 24 10:38:17 2022 +0200,Fix tests for 8-bit data.
d6121c3,Adrien Cassagne,Mon Oct 24 10:15:05 2022 +0200,Fix CMake file.
f53d516,Adrien Cassagne,Mon Oct 24 10:03:04 2022 +0200,CI: add GitLab CI script.
a64d444,Adrien Cassagne,Fri Oct 21 16:59:00 2022 +0200,Add some tests in the CMake file with ctest.
396c445,Adrien Cassagne,Thu Oct 20 15:25:47 2022 +0200,Fix tests using 'module::Switcher'.
c7f1abc,Adrien Cassagne,Thu Oct 20 15:18:18 2022 +0200,Display or NOT the throughputs in tasks statistics.
05dfa75,Adrien Cassagne,Thu Oct 20 14:38:45 2022 +0200,Size of data in bytes.
66e888c,Adrien Cassagne,Thu Oct 20 14:25:46 2022 +0200,Add '--path' and '--cyclic-path' command line arguments.
0a5234d,Adrien Cassagne,Thu Oct 20 13:23:09 2022 +0200,Add parameters for the size of loops + cosmetics.
a8066e0,Adrien Cassagne,Thu Oct 20 11:44:17 2022 +0200,Rm 'limit' and only use 'n_exec'.
a913b7f,Adrien Cassagne,Thu Oct 20 10:31:45 2022 +0200,Add 'module::Delayer' + add some tests.
f50fa0c,Adrien Cassagne,Fri Oct 14 16:03:51 2022 +0200,Rename sockets in Source and Sink modules.
526ea31,Adrien Cassagne,Thu Oct 13 22:56:06 2022 +0200,Cosmetics.
f430cc4,Adrien Cassagne,Thu Oct 13 22:07:54 2022 +0200,Merge branch 'development' into refacto
3934517,Adrien Cassagne,Thu Oct 13 14:00:40 2022 +0200,Fix defines.
cb03d38,Adrien Cassagne,Sun Sep 18 12:19:25 2022 +0200,Fix bad link in CMake file.
f50fd90,Adrien Cassagne,Sun Sep 18 12:18:29 2022 +0200,Create new namespace 'runtime'.
040a956,Adrien Cassagne,Sun Sep 18 11:02:20 2022 +0200,Fix target def and target link.
3764a38,Adrien Cassagne,Fri Sep 16 20:04:53 2022 +0200,First commit.
